timestamp,sample_length,overlapping_ratio,n_rev_resampling,preprocessing_type,batch_size,nperseg,ratio,data_type,model,learning_rate,epochs,accuracy
20251103-105846,4096,0.9,64,freq_spectrum,32,512,0.5,by_load_train2load,Simple1DCNN,5.00E-05,100,0.780068729
20251103-110150,4096,0.9,64,order_spectrum,32,512,0.5,by_load_train2load,Simple1DCNN,5.00E-05,100,0.776632302
20251103-110800,4096,0.9,64,order_spectrum,32,512,0.5,by_load_train2load,Basic1DCNN,1.00E-06,400,0.797250859
20251103-110857,4096,0,64,order_spectrum,32,512,0.5,by_load_train2load,Basic1DCNN,1.00E-06,400,0.7
20251103-111939,2048,0,64,raw,32,512,0.5,by_load_train2load,WDCNN,5e-05,400,0.937394247038917
20251103-112129,2048,0,64,raw,32,512,0.5,by_load_train2load_2,WDCNN,5e-05,400,0.9983050847457627
20251103-112357,4096,0,64,order_spectrum,32,512,0.5,by_load_train2load_2,Basic1DCNN,5e-05,400,0.7965517241379311
20251103-112606,4096,0,64,freq_spectrum,32,512,0.5,by_load_train2load_2,WDCNN,5e-05,400,0.7655172413793103
20251103-112655,4096,0,64,freq_spectrum,32,512,0.5,by_load_train2load,WDCNN,5e-05,400,0.7010309278350515
20251103-113843,25600,0,32,order_spectrogram,32,256,0.5,by_load_train2load,Baseline,0.0001,400,0.6
20251103-113939,25600,0.9,32,order_spectrogram,32,256,0.5,by_load_train2load,Baseline,1e-05,400,0.6
20251103-120329,25600,0,32,order_spectrogram,32,256,0.5,by_load_train2load,Baseline,1e-05,400,0.6
20251103-121426,25600,0,32,order_spectrogram,32,256,0.5,by_load_train2load,Baseline,1e-05,400,0.3
20251103-121500,25600,0,32,order_spectrogram,32,256,0.5,by_load_train2load,Baseline,1e-06,400,0.3
20251103-121617,25600,0.9,32,order_spectrogram,32,256,0.5,by_load_train2load,Baseline,1e-06,400,0.4
20251103-121827,25600,0.9,32,order_spectrogram,32,256,0.5,by_load_train2load,Baseline,1e-06,400,0.4
20251103-121952,12000,0.9,32,order_spectrogram,32,256,0.5,by_load_train2load,Baseline,1e-06,400,0.3
20251103-122223,12000,0.9,32,order_spectrogram,32,64,0.5,by_load_train2load,Baseline,1e-06,400,0.4
20251103-125215,4096,0,64,order_spectrum,32,64,0.5,by_load_train2load_balanced,Basic1DCNN,1e-06,400,0.5637254901960784
20251103-125259,4096,0,64,order_spectrum,32,64,0.5,by_load_train2load_balanced,Basic1DCNN,1e-05,400,0.8284313725490197
20251103-125358,4096,0,64,order_spectrum,32,64,0.5,by_load_train2load_balanced_2,Basic1DCNN,1e-05,400,0.7093596059113301
20251103-125514,4096,0,64,raw,32,64,0.5,by_load_train2load_balanced,Basic1DCNN,1e-05,400,1.0
20251103-125826,2048,0,64,raw,32,64,0.5,by_load_train2load_balanced,WDCNN,1e-05,400,0.9927536231884058
20251103-130656,2048,0,64,raw,32,64,0.5,by_bearing_balanced,WDCNN,1e-05,400,0.6064030131826742
20251103-130754,4096,0,64,order_spectrum,32,64,0.5,by_bearing_balanced,Basic1DCNN,1e-05,400,0.42911877394636017
20251103-130857,4096,0,64,order_spectrum,32,64,0.5,by_bearing_balanced,Basic1DCNN,1e-06,400,0.5555555555555556
20251103-131006,4096,0,64,order_spectrum,32,64,0.5,by_bearing_balanced,Basic1DCNN,5e-06,400,0.4367816091954023
20251103-131148,4096,0.9,64,order_spectrum,32,64,0.5,by_bearing_balanced,Basic1DCNN,5e-06,400,0.4674329501915709
20251103-131259,4096,0.9,64,order_spectrum,32,64,0.5,by_bearing_balanced,Simple1DCNN,5e-06,400,0.5555555555555556
20251103-131424,4096,0.9,64,order_spectrum,64,64,0.5,by_bearing_balanced,Simple1DCNN,5e-06,400,0.4482758620689655
20251108-215951,4096,0,64,order_spectrum,64,64,0.5,by_load_train2load,Simple1DCNN,5e-06,400,0.711340206185567
20251108-220430,4096,0,64,order_spectrum,64,64,0.5,by_load_train2load,Simple1DCNN,5e-05,400,0.8316151202749141
20251108-220729,4096,0,64,order_spectrum,64,64,0.5,by_load_train2load,Simple1DCNN,5e-05,200,0.8144329896907216
20251108-221047,4096,0,64,order_spectrum,32,64,0.5,by_load_train2load,Simple1DCNN,5e-05,200,0.845360824742268
20251108-221615,4096,0,128,order_spectrum,32,64,0.5,by_load_train2load,Simple1DCNN,5e-05,200,0.8625429553264605
20251108-222602,4096,0,256,order_spectrum,32,64,0.5,by_load_train2load,Simple1DCNN,5e-05,200,0.7663230240549829
20251108-223335,4096,0,64,raw,32,64,0.5,by_load_train2load,Simple1DCNN,5e-05,200,0.9965635738831615
20251108-223508,4096,0,64,freq_spectrum,32,64,0.5,by_load_train2load,Simple1DCNN,5e-05,200,0.8075601374570447
20251108-223743,4096,0,64,order_spectrum,32,64,0.5,by_bearing_balanced,Simple1DCNN,1e-05,200,0.4482758620689655
20251108-223839,4096,0,64,raw,32,64,0.5,by_bearing_balanced,Simple1DCNN,1e-05,200,0.5555555555555556
20251108-223931,4096,0,64,order_spectrum,32,64,0.5,by_bearing_balanced,Simple1DCNN,1e-05,200,0.4482758620689655
20251108-224035,4096,0,64,freq_spectrum,32,64,0.5,by_bearing_balanced,Simple1DCNN,1e-05,200,0.5555555555555556
20251108-224400,4096,0,64,raw,32,64,0.5,by_load_balanced,Simple1DCNN,1e-05,200,0.8578431372549019
20251108-224513,4096,0,64,freq_spectrum,32,64,0.5,by_load_balanced,Simple1DCNN,1e-05,200,0.803921568627451
20251108-224612,4096,0,64,freq_spectrum,32,64,0.5,by_load_balanced,Simple1DCNN,0.0001,200,0.9215686274509803
20251108-224708,4096,0,64,raw,32,64,0.5,by_load_balanced,Simple1DCNN,0.0001,200,1.0
20251108-225148,4096,0,64,order_spectrum,32,64,0.5,by_load_balanced,Simple1DCNN,0.0001,200,1.0
20251109-175911,4096,0,64,order_spectrum,32,64,0.5,by_load_balanced,Simple1DCNN,0.0001,200,1.0
20251110-105124,4096,0,64,raw,32,64,0.5,by_load_balanced,Simple1DCNN,0.0001,200,1.0
20251110-110826,4096,0,64,freq_spectrum,32,64,0.5,by_load_balanced,Simple1DCNN,0.0001,200,0.9215686274509803
20251111-211442,4096,0,64,raw,32,64,0.5,by_load_balanced,Simple1DCNN,0.0001,200,0.31237322515212984
20251111-215308,4096,0,64,freq_spectrum,32,64,0.5,by_load_balanced,Simple1DCNN,0.0001,200,0.5253549695740365
20251111-215902,4096,0,64,order_spectrum,32,64,0.5,by_load_balanced,Simple1DCNN,0.0001,200,0.4056795131845842
20251111-220523,4096,0,64,raw,32,64,0.5,by_load_balanced,Simple1DCNN,0.0001,200,0.31237322515212984
20251111-220750,4096,0,64,freq_spectrum,32,64,0.5,by_load_balanced,Simple1DCNN,0.0001,200,0.5253549695740365
20251111-221140,4096,0,64,order_spectrum,32,64,0.5,by_load_balanced,Simple1DCNN,0.0001,200,0.4056795131845842
20251111-221623,4096,0,64,raw,32,64,0.5,by_bearing_leakaged,Simple1DCNN,0.0001,200,0.06288032454361055
20251111-223310,4096,0,64,freq_spectrum,32,64,0.5,by_bearing_leakaged,Simple1DCNN,0.0001,200,0.5192697768762677
20251111-223418,4096,0,64,order_spectrum,32,64,0.5,by_bearing_leakaged,Simple1DCNN,0.0001,200,0.7322515212981744
20251123-194443,4096,0,64,order_spectrum,32,64,0.5,by_bearing_leakaged,Simple1DCNN,0.0001,200,0.7322515212981744
20251124-133659,4096,0,64,freq_spectrum,32,64,0.5,by_load,Simple1DCNN,0.0001,200,0.8109965635738832
20251124-133756,4096,0,64,order_spectrum,32,64,0.5,by_load,Simple1DCNN,0.0001,200,0.8487972508591065
20251124-135051,2048,0,64,raw,32,64,0.5,by_bearing_leakaged,Simple1DCNN,0.0001,200,0.09770687936191426
20251124-135202,4096,0,64,freq_spectrum,32,64,0.5,by_bearing_leakaged,Simple1DCNN,0.0001,200,0.5192697768762677
20251124-135307,4096,0,64,order_spectrum,32,64,0.5,by_bearing_leakaged,Simple1DCNN,0.0001,200,0.7322515212981744
